epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,222.221,1.49254,1.85976,1.66829,0.3589,0.53818,0.34376,0.15022,1.73286,2.65561,1.88596,0.000475083,0.000475083,0.000475083
2,437.043,1.52758,1.64901,1.68287,0.5645,0.42285,0.48225,0.23194,1.61608,1.69936,1.78302,0.000941997,0.000941997,0.000941997
3,650.011,1.49222,1.58922,1.65056,0.57705,0.59341,0.60895,0.32062,1.52166,1.55565,1.68383,0.00139948,0.00139948,0.00139948
4,862.481,1.43875,1.50918,1.61465,0.60519,0.61765,0.64886,0.34771,1.50392,1.4752,1.66257,0.00138656,0.00138656,0.00138656
5,1074.72,1.39312,1.43231,1.57816,0.65069,0.62053,0.65897,0.34647,1.42517,1.32499,1.58085,0.00137241,0.00137241,0.00137241
6,1286.75,1.35542,1.37145,1.55335,0.67219,0.63008,0.67627,0.38767,1.373,1.23699,1.52239,0.00135826,0.00135826,0.00135826
7,1498.92,1.33431,1.33083,1.53262,0.62968,0.64283,0.67523,0.39715,1.34775,1.26197,1.50634,0.00134412,0.00134412,0.00134412
8,1710.94,1.30358,1.30165,1.51063,0.65701,0.63256,0.68702,0.38327,1.35835,1.22003,1.49493,0.00132997,0.00132997,0.00132997
9,1922.73,1.2936,1.26392,1.50273,0.66554,0.67876,0.71586,0.41424,1.32231,1.14397,1.50151,0.00131582,0.00131582,0.00131582
10,2134.71,1.2775,1.23684,1.48501,0.7125,0.65023,0.72241,0.43753,1.27724,1.12825,1.45493,0.00130168,0.00130168,0.00130168
11,2346.72,1.26413,1.21513,1.47802,0.67738,0.65256,0.69885,0.39058,1.36343,1.14814,1.51389,0.00128753,0.00128753,0.00128753
12,2558.49,1.25476,1.19786,1.47314,0.67908,0.65718,0.71225,0.38434,1.37806,1.13725,1.5129,0.00127338,0.00127338,0.00127338
13,2770.23,1.24171,1.1789,1.46591,0.64378,0.68554,0.7266,0.43903,1.26419,1.15331,1.43545,0.00125923,0.00125923,0.00125923
14,2982.23,1.23669,1.1617,1.45771,0.73229,0.6914,0.75655,0.46986,1.22682,1.04252,1.42314,0.00124509,0.00124509,0.00124509
15,3195.14,1.21917,1.11778,1.44483,0.68404,0.6765,0.74237,0.44787,1.23013,1.10922,1.41653,0.00123094,0.00123094,0.00123094
16,3406.95,1.20012,1.1207,1.4344,0.6959,0.69832,0.75265,0.45759,1.21997,1.05103,1.39776,0.00121679,0.00121679,0.00121679
17,3618.98,1.18281,1.09987,1.42051,0.76052,0.7121,0.78775,0.47809,1.21665,0.96815,1.40251,0.00120265,0.00120265,0.00120265
18,3830.93,1.1923,1.09034,1.42821,0.71353,0.70709,0.77276,0.47854,1.22374,1.00322,1.41404,0.0011885,0.0011885,0.0011885
19,4042.48,1.17371,1.08546,1.42674,0.73542,0.70019,0.77461,0.48283,1.19473,0.98403,1.38196,0.00117435,0.00117435,0.00117435
20,4254.42,1.17472,1.07974,1.42761,0.71235,0.71036,0.77281,0.47346,1.21402,1.03857,1.41545,0.00116021,0.00116021,0.00116021
21,4465.98,1.17576,1.06933,1.42103,0.73499,0.72074,0.78248,0.48095,1.2186,0.95926,1.39434,0.00114606,0.00114606,0.00114606
22,4677.71,1.1507,1.05615,1.40374,0.76612,0.71617,0.80032,0.50654,1.18294,0.94199,1.37487,0.00113191,0.00113191,0.00113191
23,4889.78,1.14646,1.03665,1.40988,0.77677,0.70747,0.80098,0.51198,1.17542,0.92283,1.37781,0.00111776,0.00111776,0.00111776
24,5101.9,1.13651,1.02867,1.39732,0.74917,0.7199,0.79336,0.51703,1.15421,0.93094,1.35598,0.00110362,0.00110362,0.00110362
25,5314.14,1.12884,1.03345,1.39047,0.7788,0.71192,0.80425,0.52306,1.15,0.89535,1.3694,0.00108947,0.00108947,0.00108947
26,5526.19,1.12864,0.99911,1.38674,0.75609,0.71584,0.80253,0.51674,1.15318,0.90957,1.34692,0.00107532,0.00107532,0.00107532
27,5737.91,1.11682,0.9873,1.37294,0.76454,0.72108,0.80412,0.52155,1.15418,0.90184,1.35876,0.00106118,0.00106118,0.00106118
28,5949.77,1.11276,0.99474,1.38234,0.74325,0.7415,0.80431,0.52198,1.13572,0.89957,1.34061,0.00104703,0.00104703,0.00104703
29,6161.37,1.10729,0.96816,1.37779,0.74185,0.74151,0.80809,0.53469,1.13171,0.86936,1.33609,0.00103288,0.00103288,0.00103288
30,6373.42,1.09248,0.96371,1.36309,0.79052,0.72755,0.81907,0.53763,1.12749,0.87186,1.34142,0.00101873,0.00101873,0.00101873
31,6585.38,1.08867,0.94922,1.35983,0.73974,0.72913,0.79593,0.52138,1.12004,0.88198,1.3383,0.00100459,0.00100459,0.00100459
32,6797.09,1.07445,0.93831,1.35304,0.78625,0.71366,0.81477,0.53323,1.11645,0.86116,1.3238,0.00099044,0.00099044,0.00099044
33,7008.95,1.07588,0.94191,1.35239,0.77513,0.72431,0.81641,0.53029,1.1204,0.86448,1.32763,0.000976293,0.000976293,0.000976293
34,7220.8,1.06271,0.93043,1.34821,0.77795,0.74409,0.82426,0.54217,1.11886,0.82974,1.32292,0.000962146,0.000962146,0.000962146
35,7432.76,1.0622,0.93014,1.35038,0.7704,0.74218,0.81894,0.54415,1.10567,0.84181,1.3294,0.000947999,0.000947999,0.000947999
36,7644.69,1.05745,0.91402,1.34258,0.8054,0.72974,0.82866,0.55433,1.09271,0.82052,1.31301,0.000933851,0.000933851,0.000933851
37,7857.17,1.06607,0.91406,1.34208,0.76895,0.75891,0.82605,0.54725,1.11258,0.84154,1.32482,0.000919704,0.000919704,0.000919704
38,8068.82,1.03828,0.89576,1.32529,0.77857,0.75044,0.82567,0.55371,1.08283,0.82402,1.29668,0.000905557,0.000905557,0.000905557
39,8280.52,1.04167,0.90118,1.32985,0.75341,0.7563,0.82211,0.5449,1.10455,0.8232,1.31724,0.00089141,0.00089141,0.00089141
40,8492.22,1.03357,0.88526,1.32707,0.77615,0.75398,0.82818,0.55879,1.083,0.81396,1.2979,0.000877263,0.000877263,0.000877263
41,8704.09,1.02091,0.87262,1.31602,0.77315,0.76105,0.82619,0.55177,1.08985,0.80517,1.31247,0.000863116,0.000863116,0.000863116
42,8915.68,1.02496,0.86392,1.31832,0.79174,0.72845,0.82269,0.54779,1.09405,0.81594,1.31119,0.000848969,0.000848969,0.000848969
